parameter_id,group,name_en,name_ko,unit_or_representation,dependencies,priority,required_by,acquisition_method_en,public_availability_en,source_ids,caution_ko,target_cell_value,uncertainty,state
cell_model,identity,Cell manufacturer and exact variant,제조사와 정확한 셀 변형 모델,text,batch,P0,all,Manufacturer traceability and protocol metadata,Usually public only at model level; batch and manufacturing history often absent,S01;S07;S08;S10,셀 모델·배치·시험 이력을 먼저 고정한다.,,,requirement_not_collected_value
chemistry_positive,identity,Positive-electrode composition and phase fractions,양극 조성과 상 분율,composition,batch,P0,all,Manufacturer traceability and protocol metadata,Usually public only at model level; batch and manufacturing history often absent,S01;S07;S08;S10,셀 모델·배치·시험 이력을 먼저 고정한다.,,,requirement_not_collected_value
chemistry_negative,identity,Negative-electrode composition and silicon fraction,음극 조성과 실리콘 비율,composition,batch,P0,all,Manufacturer traceability and protocol metadata,Usually public only at model level; batch and manufacturing history often absent,S01;S07;S08;S10,셀 모델·배치·시험 이력을 먼저 고정한다.,,,requirement_not_collected_value
cell_format,identity,Cell format and winding/stacking architecture,셀 형식과 권취·적층 방식,text,cell,P0,all,Manufacturer traceability and protocol metadata,Usually public only at model level; batch and manufacturing history often absent,S01;S07;S08;S10,셀 모델·배치·시험 이력을 먼저 고정한다.,,,requirement_not_collected_value
batch_id,identity,Manufacturing batch and individual ID,제조 배치와 개체 ID,text,cell,P0,all,Manufacturer traceability and protocol metadata,Usually public only at model level; batch and manufacturing history often absent,S01;S07;S08;S10,셀 모델·배치·시험 이력을 먼저 고정한다.,,,requirement_not_collected_value
formation_history,identity,Formation and preconditioning history,화성·사전 조건 이력,protocol,history,P0,all,Manufacturer traceability and protocol metadata,Usually public only at model level; batch and manufacturing history often absent,S01;S07;S08;S10,셀 모델·배치·시험 이력을 먼저 고정한다.,,,requirement_not_collected_value
nominal_capacity,identity,Rated capacity with reference test,정격 용량과 기준 시험 조건,Ah,T;rate;cutoff,P0,all,Manufacturer traceability and protocol metadata,Usually public only at model level; batch and manufacturing history often absent,S01;S07;S08;S10,셀 모델·배치·시험 이력을 먼저 고정한다.,,,requirement_not_collected_value
storage_history,identity,Pre-test storage and calendar age,시험 전 저장 이력과 달력 나이,s,T;SOC;history,P0,all,Manufacturer traceability and protocol metadata,Usually public only at model level; batch and manufacturing history often absent,S01;S07;S08;S10,셀 모델·배치·시험 이력을 먼저 고정한다.,,,requirement_not_collected_value
negative_thickness,geometry,Negative electrode coating thickness,음극 코팅 두께,m,compression,P0,DFN;thermal;mechanical,"Cell teardown, dimensional metrology, microscopy or CT with scale calibration",Partly available in parameter sets; full collector and tab CAD usually missing,S01;S05;S15,같은 셀의 길이·면적·층수 정의를 유지한다.,,,requirement_not_collected_value
positive_thickness,geometry,Positive electrode coating thickness,양극 코팅 두께,m,compression,P0,DFN;thermal;mechanical,"Cell teardown, dimensional metrology, microscopy or CT with scale calibration",Partly available in parameter sets; full collector and tab CAD usually missing,S01;S05;S15,같은 셀의 길이·면적·층수 정의를 유지한다.,,,requirement_not_collected_value
