source_id,title,url,source_kind,access_status,rights_status,audit_note,verified_date
S01,About:Energy BPX parameterisation repository,https://github.com/About-Energy-OpenSource/About-Energy-BPX-Parameterisation,primary_repository,read_via_GitHub_connector,CC-BY-SA-4.0,License heading verified; source values captured; binary/byte download unavailable.,2026-09-10
S02,PyBaMM DFN equations,https://docs.pybamm.org/en/latest/source/examples/notebooks/models/DFN.html,official_documentation,read,reference_only,"Development documentation, not a stable-version installation recommendation.",2026-09-10
S03,PyBaMM thermal models,https://docs.pybamm.org/en/latest/source/examples/notebooks/models/thermal-models.html,official_documentation,read,reference_only,"Thermal geometry, heat sources, contact resistance and cooling boundary conditions.",2026-09-10
S04,PyBaMM coupled degradation,https://docs.pybamm.org/en/latest/source/examples/notebooks/models/coupled-degradation.html,official_documentation,read,reference_only,Model structure is not evidence that all coefficients are identifiable.,2026-09-10
S05,PyBaMM parameterisation,https://docs.pybamm.org/en/latest/source/examples/notebooks/parameterization/parameterization.html,official_documentation,read,reference_only,Parameter functions and characterization workflow.,2026-09-10
S06,BPX official standard download and change notes,https://bpxstandard.com/bpx-standard/,official_standard,read_public_page_only,form_gated_documents,Public page describes 1.1 extensions. Contact form not submitted; full specification not downloaded.,2026-09-10
S07,CALCE battery data,https://calce.umd.edu/battery-data,primary_data_portal,read,no_blanket_license_verified,Public data and attribution instructions; individual files need rights review.,2026-09-10
S08,NASA Li-ion aging catalog,https://data.nasa.gov/dataset/li-ion-battery-aging-datasets,primary_data_catalog,read,license_not_specified,Do not infer public-domain status for all contributor data.,2026-09-10
S09,NASA PCoE data repository,https://www.nasa.gov/intelligent-systems-division/discovery-and-systems-health/pcoe/pcoe-data-set-repository/,primary_data_portal,read,per_dataset_review,Official links for Battery and Randomized Battery archives; not downloaded.,2026-09-10
S10,LG HG2 dataset v3,https://data.mendeley.com/datasets/cp3473x7xv/3,primary_dataset,read_metadata,CC-BY-4.0,"DOI 10.17632/cp3473x7xv.3, published 2020-03-05. File list not captured.",2026-09-10
S11,Battery Archive study summaries,https://batteryarchive.org/study_summaries.html,data_custodian_summary,read,institution_specific,Study-level descriptions; original files/rights must be obtained separately.,2026-09-10
S12,Battery Archive access page,https://www.batteryarchive.org/,data_custodian_portal,read,permission_request,Full CSV access by email request; no request sent.,2026-09-10
S13,Mechanically induced thermal runaway v2,https://data.mendeley.com/datasets/sn2kv34r4h/2,primary_dataset,read_metadata,CC-BY-4.0,"DOI 10.17632/sn2kv34r4h.2, published 2024-09-24. Numerical files not downloaded.",2026-09-10
S14,Battery Failure Databank,https://www.nlr.gov/transportation/battery-failure,primary_data_portal,read_metadata,spreadsheet_terms_not_verified,Spreadsheet revision February 2024; full spreadsheet not inspected or downloaded.,2026-09-10
S15,Battery Microstructures Library,https://www.nlr.gov/transportation/microstructure,primary_data_portal,read_metadata,custom_agreement,Carbon-binder phase is numerically generated in supplied reconstructions.,2026-09-10
S16,Microstructure library agreement,https://www.nlr.gov/transportation/microstructure-library-disclaimer,primary_terms,read,custom_agreement_not_accepted,Agreement includes notice retention and credit obligations. No acceptance submitted.,2026-09-10
S17,EPA dynamometer schedules,https://www.epa.gov/vehicle-and-fuel-emissions-testing/dynamometer-drive-schedules,primary_test_schedule,read,scientific_educational_use_policy,"Speed schedules, not measured battery-current records.",2026-09-10
S18,EPA US06 numeric schedule,https://www.epa.gov/system/files/other-files/2025-03/us06col.txt,primary_numeric_schedule,numeric_text_captured,see_S19,"601 rows, 0-600 s. Transcribed semantic snapshot, not byte-identical download.",2026-09-10
S19,EPA disclaimers and copyright status,https://www.epa.gov/web-policies-and-procedures/epa-disclaimers,primary_terms,read,custom_site_policy,Scientific/educational distribution is described; commercial use is not blanket-cleared.,2026-09-10
S20,BLAST battery lifetime models,https://www.nlr.gov/transportation/blast,official_software_description,read,code_and_data_licenses_separate,Semiempirical model coefficients are not raw observations.,2026-09-10
S21,Materials Project API guide,https://docs.materialsproject.org/downloading-data/using-the-api,official_api_documentation,read,API_terms_review,"Material calculations are priors, not measured manufactured-cell parameters.",2026-09-10
S22,Oxford Battery Degradation Dataset 1,https://ora.ox.ac.uk/objects/uuid:03ba4b01-cfed-46d3-9b1a-7d4a7bdf6fac,primary_dataset_landing,access_blocked,not_reverified,Primary landing blocked in this session. Study information cross-referenced to S11.,2026-09-10
S23,Iowa State ILCC dataset landing,https://doi.org/10.25380/iastate.22582234,primary_dataset_landing,access_blocked,not_reverified,Institution DOI linked by S11; primary payload not inspected.,2026-09-10
S24,Michigan expansion dataset landing,https://deepblue.lib.umich.edu/data/concern/data_sets/5d86p0488,primary_dataset_landing,access_blocked,not_reverified,Primary payload not inspected; matching and rights unresolved.,2026-09-10
S25,Severson/Attia original data-processing repository,https://github.com/rdbraatz/data-driven-prediction-of-battery-cycle-life-before-capacity-degradation,author_repository,read_via_GitHub_connector,data_license_not_established,README distinguishes accessible processing code from modeling code requiring an academic license.,2026-09-10
S26,MATR Experimental Data Platform,https://data.matr.io/1/,primary_data_portal,javascript_shell_only,not_reverified,No hidden API queried; no numerical files retrieved.,2026-09-10
S27,BatteryML paper,https://arxiv.org/abs/2310.14714,primary_research_preprint,search_metadata_reviewed,reference_only,Benchmark/processing framework; dataset-specific rights and source splits still apply.,2026-09-10
S28,PyBOP paper,https://arxiv.org/abs/2412.15859,primary_research_preprint,search_metadata_reviewed,reference_only,Parameter identification framework; does not solve observational non-identifiability.,2026-09-10
