dataset_id,title,resource_kind,priority,source_ids,rights,bundle_status,domain,scope,recommended_use_en,do_not_use_for_en,assessment_ko,next_acquisition_action,checked_date,raw_file_downloaded,scope_ko,recommended_use_ko,do_not_use_for_ko,next_acquisition_action_ko
AE_NMC,About:Energy NMC111/graphite 12.5 Ah pouch,parameter_set_and_reference_curves,P0,S01,CC-BY-SA-4.0,semantic_capture_included,electrochemistry,BPX 0.1; 25 C validation; 34 electrode pairs; cell identity not a current OEM pack,Coherent first DFN parameter benchmark. Preserve parameter families together; compare C/20 and 1C embedded reference curves before expanding the envelope.,Not a validated thermal-aging model; not NMC811; not proof of independence from original fitting data.,"가장 먼저 사용할 일관된 전기화학 기준 셀이다. 12.5 Ah NMC111 파우치의 물성과 검증 곡선을 함께 다루되, 온도·열화·차량 팩 정확도까지 확보한 것으로 해석하지 않는다.",Fetch pinned BPX and five validation CSV blobs; compare local semantic capture to original JSON. Review original calibration/validation overlap.,2026-09-10,False,"BPX 0.1, 25°C 검증, 전극 쌍 34개, NMC111/흑연 12.5 Ah 파우치 기준이다.",동일 매개변수 묶음을 유지하고 C/20·1C 기준 곡선으로 정의와 스케일을 점검한다.,NMC811·최신 OEM 팩·독립 검증 데이터로 간주하지 않는다.,고정한 BPX와 검증 CSV 다섯 개를 수집하고 JSON 의미 대조 및 원래 보정 자료와의 중복 여부를 확인한다.
AE_LFP,About:Energy LFP/graphite 2 Ah 18650,parameter_set,P0,S01,CC-BY-SA-4.0,semantic_capture_included,electrochemistry,BPX 0.1; 25 C validation files indexed; full CSV files not captured,Separate chemistry benchmark for plateau behavior and model-form limitations. Keep electrolyte/entropy literature provenance.,Do not transplant into an automotive prismatic LFP cell. Basic Fick/BV DFN does not establish phase-transition or hysteresis accuracy.,"LFP 전용 기준이다. 고율·저SOC 오차와 원통형 셀의 공간 불균일을 명시한 자료이므로, 이 한계를 모델 요구사항으로 전환해야 한다.",Fetch five LFP validation CSV blobs after license review. Add charge/rest histories and temperature-dependent characterization separately.,2026-09-10,False,"BPX 0.1, LFP/흑연 2 Ah 18650이다. 25°C 검증 CSV 목록만 확보했고 전체 파일은 미수집이다.",전압 평탄부와 기본 모델의 형식 한계를 별도 화학계에서 비교한다.,대형 자동차 각형 LFP에 이식하거나 상전이·히스테리시스 정확도가 검증됐다고 하지 않는다.,LFP 검증 CSV 다섯 개를 수집하고 충전·휴지 이력과 온도별 특성화를 별도 확보한다.
LG_HG2,McMaster LG18650HG2 dataset v3,experimental_dataset,P1,S10,CC-BY-4.0,metadata_only,electrical_validation,Fresh 3 Ah LG HG2; instrument accuracy 0.1% full scale; v3 2020-03-05,External electrical/SOC-estimator benchmark with temperature and dynamic protocols once individual files are inspected.,Do not treat SOC labels or neural network output as direct electrochemical ground truth; do not transfer fitted parameters to another cell.,실차 부하를 염두에 둔 전압·전류 동특성 검증 후보이다. 원문 계측 정확도는 측정값의 0.1%가 아니라 풀스케일의 0.1%임에 유의한다.,"Use official Mendeley file manifest/export. Record each test temperature, cell ID, sign convention, full-scale ranges and files before normalization.",2026-09-10,False,"신품 3 Ah HG2, 2020-03-05 공개 v3이다. 원문의 계측 정확도는 풀스케일의 0.1%이다.",파일을 확인한 뒤 동적 전압·SOC 추정기와 온도 조건의 외부 기준으로 사용한다.,SOC 라벨·신경망 출력을 전극 내부 상태의 직접 정답으로 사용하지 않는다.,Mendeley 공식 파일 목록을 확보하고 시험 온도·셀 ID·부호·장비 풀스케일을 기록한다.
CALCE,CALCE battery-data collections,experimental_collection,P1,S07,no_blanket_license_verified,metadata_only,OCV_EIS_dynamics_aging,LCO/LFP/NMC; multiple formats; selected 20R tests include 0/25/45 C and drive-current profiles,"Characterize OCV relaxation, pulse response, temperature dependence, calendar/cycle aging, with collection-specific cell identity.",Not one homogeneous dataset. DST/FUDS battery-current tests are not directly interchangeable with vehicle-speed schedules.,OCV·휴지·펄스·온도·열화를 연결하기 좋은 후보이다. 여러 화학계와 폼팩터를 하나의 배터리처럼 합치지 않아야 한다.,Inspect each selected ZIP description and reuse conditions. Preserve protocol-specific sampling and segment clocks.,2026-09-10,False,"LCO·LFP·NMC와 여러 폼팩터의 컬렉션이다. 일부 20R 시험에는 0/25/45°C, OCV와 동적 부하가 있다.",OCV 이완·펄스·온도·달력/사이클 열화를 선택한 셀 안에서 연결한다.,단일 동질 데이터셋처럼 합치거나 배터리 전류 프로파일과 차량 속도를 혼동하지 않는다.,각 ZIP의 설명·사용 조건을 읽고 샘플링·단계별 시계·프로토콜을 보존한다.
NASA_AGING,NASA PCoE Li-ion battery aging,experimental_dataset,P1,S08;S09,license_not_specified,metadata_only,aging_EIS,18650 charge/discharge/impedance; some accelerated deep discharge; source catalog fields documented,"Build ingestion and degradation-observable QA; compare capacity, impedance and operating conditions without mixing cells.","Not a modern EV full-pack dataset or a universal safe operating envelope. Original aggressive cutoffs are test conditions, not charging recommendations.",용량과 임피던스의 열화 관측을 연결하는 자료이다. 자동차 팩의 일반 수명이나 안전 운용 한계로 직접 일반화하면 안 된다.,"NASA official PCoE page links a Battery Data Set ZIP; download manually after rights review, not through the catalog page alone.",2026-09-10,False,18650 충전·방전·임피던스 자료이며 일부 가속 시험에는 깊은 방전이 포함된다.,용량·임피던스·조건별 열화 관측 및 입력 QA를 연결한다.,현대 전기차 팩 데이터나 보편적인 안전 운용 범위로 일반화하지 않는다.,공식 PCoE 페이지의 Battery Data Set ZIP 경로를 이용하되 라이선스를 먼저 검토한다.
NASA_RANDOM,NASA randomized battery usage,experimental_dataset,P1,S09,per_dataset_review,metadata_only,variable_load_aging,Randomized load/temperature usage with reference characterization; separate archive,Test state estimation and degradation under variable histories; compare reference checkpoints under matched conditions.,Do not interpret randomized laboratory current as a measured real-world fleet drive history.,불규칙한 부하 이력과 기준 성능 평가를 구분하는 검증에 적합하다. 랜덤 부하는 실제 차량 운행 기록과 다르다.,Download official Randomized Battery Usage archive after rights review; retain original partition and reference-test IDs.,2026-09-10,False,랜덤 부하·온도 사용과 기준 특성화가 포함된 별도 아카이브이다.,불규칙 이력에서 상태 추정·열화를 검증하고 기준 점검을 동일 조건에서 비교한다.,실험실 랜덤 전류를 실제 차량 운행 이력이라고 표시하지 않는다.,공식 Randomized Battery Usage 자료를 권리 확인 후 받고 구간·기준 시험 ID를 유지한다.
MATR,MATR / Severson-Attia cycle-life data,experimental_dataset,P1,S25;S26,data_license_not_reverified,metadata_only,charging_policy_cycle_life,"MAT structs / Python dictionaries; per-cell descriptors, per-cycle summaries and cycle traces",Evaluate early-cycle predictors with cell/batch holdouts. Keep measured capacity separate from interpolated Qdlin and derived dQ/dV.,Academic modeling-code access is not an automatic data license. Never split adjacent cycles of one cell into train and test.,초기 사이클에서 수명을 추정하는 연구에 유용하다. 원저자 저장소에서 데이터 처리 코드와 별도 학술 라이선스의 모델 코드를 구분하므로 권리도 따로 확인해야 한다.,"MATR page yielded only a JavaScript shell. Obtain official data export and license, avoid untrusted pickle loading.",2026-09-10,False,"MAT 구조체·Python 사전 형식, 셀 설명·사이클 요약·사이클 내부 시계열로 구성된다.",초기 수명 예측에서 셀·배치 홀드아웃을 적용하고 Qdlin·dQ/dV의 파생 이력을 보존한다.,별도 학술 모델 코드 라이선스를 데이터 라이선스로 대체하거나 같은 셀의 인접 사이클을 분할하지 않는다.,MATR는 이번에 자바스크립트 껍데기만 확인됐다. 공식 내보내기·라이선스를 확보하고 비신뢰 pickle 역직렬화를 피한다.
OXFORD,Oxford Battery Degradation Dataset 1,experimental_dataset,P1,S22;S11,not_reverified,metadata_only_primary_blocked,aging_drive_cycles,Small pouch cells; cycling/characterization described in Battery Archive,Independent aging benchmark only after protocol and cell identity are verified.,Small LCO pouch behavior does not validate NMC/LFP vehicle cells. Do not infer license from mirrors.,"고온 반복 구동과 성능 평가의 연결을 볼 수 있는 후보이나, 이번에는 원본 저장소 접근이 차단되어 원시 파일과 라이선스를 재검증하지 못했다.",Retry the official Oxford landing or use the archive permission path. Verify exact file version and license before acquisition.,2026-09-10,False,소형 파우치의 열화·특성화가 Battery Archive에 소개되어 있다. 원본 저장소 접근은 차단됐다.,정확한 셀·프로토콜을 확인한 뒤 독립 열화 기준으로 사용한다.,소형 LCO 파우치로 NMC/LFP 자동차 셀을 검증하거나 미러에서 라이선스를 추정하지 않는다.,Oxford 공식 페이지에 재접근하거나 아카이브 정식 요청을 통해 파일 버전·권리를 확인한다.
ARCHIVE_SNL,Sandia multi-chemistry cycling study,experimental_dataset,P1,S11;S12,institution_specific,metadata_only,aging,"NCA/NMC/LFP 18650; temperature, DOD and rate variation; reference performance checks",Compare mechanism-aware aging models within each chemistry and protocol.,Do not pool chemistries without cell-level covariates or treat normalized capacity as mechanism identity.,화학계별 온도·DOD·전류 의존성을 비교할 수 있다. 동일한 용량 감소가 동일한 열화 기작임을 뜻하지는 않는다.,Request the study CSVs through the archive; retain original study identifiers and publication citations.,2026-09-10,False,"NCA·NMC·LFP 18650, 온도·DOD·전류율 변화와 기준 성능 점검 연구이다.",화학계와 프로토콜별로 열화 모델을 비교한다.,화학계 공변량 없이 합치거나 같은 정규화 용량 감소를 같은 기작으로 단정하지 않는다.,Battery Archive를 통해 CSV를 요청하고 원 연구 ID와 논문 인용을 유지한다.
ARCHIVE_HNEI,HNEI long-cycle study,experimental_dataset,P2,S11;S12,institution_specific,metadata_only,aging,Graphite/blended NMC-LCO 18650; source-specific long cycling protocol,Held-out endurance and reference-check validation.,Do not relabel blended positive-electrode chemistry as pure NMC or infer internal material parameters from life curves alone.,혼합 양극 셀의 장기 사이클 자료이다. 순수 NMC로 라벨을 바꾸거나 수명 곡선에서 내부 물성을 모두 역산하는 용도로는 부적합하다.,Obtain authorized CSV and paper protocol through Battery Archive.,2026-09-10,False,흑연·혼합 NMC/LCO 양극 18650의 장기 사이클 연구이다.,장기 내구와 기준 점검의 홀드아웃 비교에 사용한다.,혼합 양극을 순수 NMC로 바꾸거나 수명 곡선만으로 내부 물성을 식별하지 않는다.,Battery Archive에서 허용된 CSV와 원 논문 프로토콜을 확보한다.
